,大腿角度R,大腿角度L,膝角度R,膝角度L,大腿直筋肉長さR
64,141.83762223142364,135.7873497051666,135.7233657272906,129.366215222125,446.53343771067813
65,143.91036469710093,137.83489084606842,137.70263881259186,131.31913186616063,451.291823455531
66,145.94786421569577,139.94398985580554,141.11774189631763,134.1964756654143,455.3084319103618
67,147.70931913782255,142.52767125033813,142.79552479276813,137.9473799620805,462.1754471038447
68,148.2175664991652,147.7696885001973,142.2459388665738,144.36721967949188,453.2012443050221
69,148.79766903862642,146.6889006436213,145.03850268778163,144.76180078997854,456.98976828133107
70,150.77379215170495,149.4599296647087,147.4216281646783,149.22710784578027,458.6059966076735
71,153.25632966859993,152.1109909721068,151.92229590176746,153.94380646086188,458.75641401045164
72,154.64626011024578,154.33726770125676,156.55049798197624,159.12088721868614,451.86887862738143
73,156.1980661101551,155.28659628777532,158.35540465073677,159.83391809721854,459.1716015947728
74,157.72761604890795,156.54003107974512,159.97632272525792,160.69499301396957,469.5599260744178
75,160.698123735754,159.7594139646819,162.6147501303657,164.06367366247528,478.32629975852706
76,163.81238994331946,161.8511697887856,164.8752126797527,163.84388712477303,485.59214475622355
77,166.49385806247636,164.22156469605545,167.7023418595326,164.74752487319532,487.8276200333487
78,167.59097947846485,165.52801025562286,167.93207262167255,165.1964105441414,488.58440829674316
79,168.27817260206814,166.58896707554848,165.65297233336807,163.57489206185033,491.06358838814924
80,169.6936188903189,170.19078083860526,165.93002945945773,170.1695980198734,487.6639161749649
81,172.04184359924994,173.31263642841165,168.57905940977065,175.84652429095777,491.04978184536594
82,176.2839148812515,175.55835093125222,175.4105052565132,177.03398681739085,506.1100617018906
83,179.27132896552794,178.54037357936267,177.93904808445774,174.83315622935817,503.5840673758259
84,178.87443679288418,178.19085003880306,177.96126218250546,174.77567668504764,503.2227340079523
85,177.3519325410781,177.7802840144762,175.86788038449916,171.7835056440243,497.4356645460046
86,177.98610776601808,177.86458738462696,176.6624791900587,175.54801998265546,505.2166095602589
87,177.94454664863224,177.8538178614853,176.33261220557023,175.7801198242959,505.18643483295773
