,大腿角度R,大腿角度L,膝角度R,膝角度L,大腿直筋肉長さR
104,158.6440613635666,163.22621195553873,171.43476891001615,163.3111621683553,630.4507448186348
105,160.79733316624973,168.3649565115198,169.09877573305792,163.2348689613791,625.845893175858
106,157.41382579189602,162.4816187638941,167.503646463101,150.91517123536278,629.7949380060775
107,159.29898112188292,164.46943021053434,169.6662718501522,149.2376101430642,630.8747775560762
108,161.79572911600133,167.29956615320967,172.1748007471463,152.18026067727797,625.1325603902978
109,162.7527346322727,169.30920002205406,174.48773731899692,157.25193446625943,623.3597020748375
110,163.55897617281644,171.43216516914606,177.4170613657712,162.3985955750507,622.0388955370469
111,159.79660540268833,170.3250546399288,175.3125495589504,170.41434698172048,629.7524768878677
112,158.24894426578402,169.37314362670367,176.44584960564677,174.8019172993953,627.9304835805978
113,160.54702984705474,170.32594279396668,177.7517390835939,175.91036041500945,618.6472723680184
114,161.11895126223988,170.9305191735841,174.80982421305342,178.8790746802801,613.8651567729526
115,162.4247629249549,170.95518043101043,174.91564409547314,177.15719409762585,607.9270951966168
116,163.66274425973063,170.41035853032156,175.34787527185264,179.93329832338338,622.836565975689
117,163.31090964132608,170.25704122662808,178.5617038516867,179.8466476985528,622.4757878712701
118,162.787628585742,169.40983500675853,177.97226934821177,179.7412118081561,626.5335647532877
119,164.38685355111323,170.4234699091936,178.3602621691786,175.22049876801168,622.5539333242524
120,164.67741498219277,173.67689407007438,173.4857862000018,175.2986380925377,615.8385640396989
121,166.65382106992402,174.80557022857062,170.88999924882822,177.2943330954531,616.7072104598806
122,168.80506672000882,175.56786786088995,171.0363323737745,177.60524032207542,619.1767595044081
123,172.41922176828626,178.02381924615835,174.93770843003807,176.8994084950331,621.1672367814126
124,174.30529551368545,179.09334011640414,177.31321918712405,176.8957956395768,618.0063241680014
125,176.931284624011,178.75480280339235,179.47154679211613,175.77788942597442,615.5348575484188
126,178.06601645709833,177.98349799986397,177.46996683866686,174.69015104097664,617.1480736619845
127,179.27076614310744,177.3390405385552,176.3064967720467,174.22856357061696,614.6866444663707
128,179.19754443798283,175.7168901596035,174.98798573070493,174.2779135448481,614.242842158631
129,178.33955753986618,175.2668325838043,174.56632860083553,176.23687927806483,616.0648662532595
130,178.12379758984176,174.79649436554584,174.95792289601297,177.05082415160362,614.481734954727
131,178.69781487516968,175.52190999072084,175.93067385299247,179.2443923491244,614.6233450766852
132,178.91766903542936,177.21443104578552,176.05050933763886,177.15801816754993,615.8837315403374
133,179.98788325636144,179.91870266917604,177.67256058426744,170.87877391454387,613.9768956665462
134,178.81026821595586,178.85480585991547,179.55528703163753,170.612583370237,611.6007368505079
135,178.61456432326446,178.4274980126684,179.7144573343081,171.0290861728141,613.203588963351
136,179.4693720897422,179.10289691840924,179.74292951292526,170.108187438913,611.0850209462237
137,179.5172475256455,179.36877844397702,179.18723376593127,172.289307771282,610.0305857482601
138,179.5323365944014,179.10303732217045,177.67487298537753,175.32948994253,611.5472996269152
139,179.1986253720524,178.1242246969325,177.35368050154185,175.68824803939125,605.8082565080215
140,179.46591450336894,178.77282440082553,176.4196106685921,177.87813456815218,605.0128677948364
141,179.59079339128607,179.52410707965282,174.35245612427573,179.4763838129644,601.2788647984644
142,179.53621742295508,179.24013496045012,175.43479453288396,177.81577857633872,601.9337242819525
143,178.61766527343565,179.23214037586172,177.83086222019003,176.18190949538584,594.0793608270258
144,177.79042535553526,177.58912676317752,172.9665557216927,175.91884185332927,601.4435057537363
145,177.05110849462793,175.77354079503232,172.16278034548486,172.6971963689364,607.1822037223141
146,178.20392619461336,175.7777047286582,172.51695058574407,166.30498193160693,613.0503244038453
147,179.9264886873257,176.6128100456349,176.10004198692124,169.19821830426577,610.6903770633068
148,179.2004552945461,176.8295057420347,178.68535084517174,171.60661044143677,610.1906355812202
149,177.62915254938562,177.73493434018954,178.53133664808345,172.75738594552558,610.3316144017798
150,177.44580975340338,177.776433868307,178.00661859538596,174.53727253580112,608.3784190046288
151,176.81058363271464,178.39551392753856,177.3837418684449,175.01309360088044,605.3069977053432
152,177.27252563965945,177.6488458260238,178.75905602155876,173.9631629721262,601.9284707953354
153,178.1853414726385,176.74684820213486,179.42406383301773,172.77604695695433,602.6659562881049
154,179.54128002095908,175.73111250309756,177.58715413879008,173.93473415535712,602.5111812183147
155,179.89195504506145,175.1037346193626,177.28837760824555,173.64638366728022,602.3439349030184
156,178.88963533112133,174.41977512258273,177.05351472804932,174.9306240501031,605.3093236045806
157,178.16048478667952,175.0739794217846,176.39143860855964,176.9116959362227,603.7418797256286
158,178.73607605900645,177.8267857601309,176.96305745688474,179.654710591798,596.0264371747255
159,179.06187784803555,178.29975069465172,176.63251198935944,179.9107346582277,599.9260135589806
160,179.99482530793233,179.21196655016226,177.70747332556277,178.4550117972878,599.3575905366034
161,179.24627482635645,179.47909071770766,178.1782362190559,178.45941808038447,597.4770031808533
162,177.9598477703615,179.01696957209094,179.39685347256372,179.41277550320007,595.5329484299606
163,179.0030454509584,179.06846363214908,176.43357753421034,178.529547448277,597.7087654395391
